Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
M,28,175,188,2014-01-29 23:02:49.323,12.9
M,36,124,123,2014-01-29 17:27:04.000,2.1
F,49,80,51,2014-01-30 17:11:57.000,9.1
M,33,112,30,2014-01-30 09:10:07.000,10.6
M,33,19,192,2014-01-30 11:42:19.000,15.1
M,24,86,116,2014-01-31 15:59:37.713,4.6
F,23,53,70,2014-01-31 10:15:02.000,10.2
M,68,66,29,2014-01-31 11:38:08.000,30.1
M,61,74,129,2014-02-01 15:43:41.000,10.6
M,26,2,35,2014-02-02 10:46:17.000,7.9
M,46,68,58,2014-02-03 20:04:22.487,2.9
M,30,67,168,2014-02-04 14:15:36.000,7.3
F,27,27,158,2014-02-04 20:00:12.000,24.2
M,38,77,146,2014-02-04 15:08:20.000,9.9
M,49,54,118,2014-02-05 15:47:19.000,14.6
M,31,176,118,2014-02-05 08:45:37.000,12.2
M,32,167,68,2014-02-05 15:16:46.430,10.2
F,26,150,126,2014-02-06 11:58:43.000,12.1
M,22,16,53,2014-02-06 18:30:38.750,9.9
M,33,66,46,2014-02-06 14:20:33.000,19.3
M,38,24,31,2014-02-07 15:00:12.000,5.7
M,39,221,237,2014-02-07 09:18:34.000,5.7
M,31,15,18,2014-02-07 14:23:02.607,5.5
M,48,212,213,2014-02-08 20:02:52.000,16.2
F,27,134,121,2014-02-09 15:50:07.000,11.3
M,52,234,15,2014-02-09 13:06:10.000,14.0
M,34,130,126,2014-02-10 23:18:58.470,5.9
F,35,104,134,2014-02-10 07:41:07.000,18.9
F,39,206,21,2014-02-11 16:35:03.000,18.4
M,46,167,73,2014-02-11 20:10:09.000,6.6
M,31,252,212,2014-02-11 08:08:04.000,9.6
M,21,229,238,2014-02-12 21:01:28.000,8.8
F,31,208,249,2014-02-12 19:43:18.427,9.3
M,48,266,5,2014-02-12 08:24:01.000,31.7
F,28,238,169,2014-02-13 19:05:29.000,23.4
M,22,21,28,2014-02-13 19:03:56.153,2.7
M,38,59,59,2014-02-13 08:00:41.000,2.8
M,46,85,266,2014-02-14 16:23:30.000,12.6
M,33,64,72,2014-02-14 17:37:17.000,21.5
M,40,248,32,2014-02-14 10:38:56.000,29.9
F,30,32,27,2014-02-15 14:53:51.000,5.8
F,32,25,194,2014-02-15 13:28:25.000,23.2
F,23,142,158,2014-02-16 13:22:40.000,7.1
M,32,253,217,2014-02-17 16:31:26.000,9.6
M,49,28,24,2014-02-17 10:25:32.000,3.0
M,45,21,24,2014-02-17 13:10:45.067,7.2
M,55,211,26,2014-02-18 21:17:06.000,18.3
M,49,43,18,2014-02-18 10:17:23.000,13.0
M,25,122,270,2014-02-18 10:50:04.000,12.7
M,42,148,145,2014-02-19 17:49:55.000,3.3
M,44,125,25,2014-02-19 08:12:02.000,11.2
M,36,43,96,2014-02-19 22:58:22.933,14.6
M,26,238,83,2014-02-20 19:35:01.000,28.2
M,61,60,64,2014-02-20 18:58:00.977,13.1
F,23,12,14,2014-02-20 13:27:45.000,9.3
M,19,255,160,2014-02-21 15:35:05.000,4.7
M,28,77,60,2014-02-21 17:48:12.000,8.4
M,33,241,70,2014-02-21 13:42:23.000,31.3
M,30,32,27,2014-02-22 15:17:34.000,11.8
M,59,194,27,2014-02-22 12:58:47.553,26.8
M,48,117,112,2014-02-23 10:13:25.000,9.8
M,48,87,1,2014-02-24 15:51:03.000,27.7
M,42,15,116,2014-02-24 21:26:51.000,9.0
F,29,28,1,2014-02-24 18:02:23.000,10.9
M,28,213,178,2014-02-25 18:06:20.230,34.1
M,25,84,165,2014-02-25 13:40:48.000,7.2
M,32,212,258,2014-02-25 19:37:30.000,21.1
M,19,168,177,2014-02-26 12:18:35.000,5.2
M,41,139,135,2014-02-26 19:30:56.000,6.4
F,53,115,160,2014-02-26 18:20:23.000,12.1
M,28,179,61,2014-02-27 15:05:12.940,5.9
M,30,18,41,2014-02-27 16:49:32.000,8.9
F,23,80,74,2014-02-27 13:06:54.000,3.3
M,33,223,230,2014-02-27 19:16:18.000,7.3
F,23,156,61,2014-02-28 18:41:43.777,8.6
M,29,126,131,2014-02-28 07:48:26.000,2.0
M,45,13,272,2014-02-28 19:43:44.000,12.3
M,35,66,61,2014-03-01 14:27:51.907,6.5
F,26,130,149,2014-03-02 15:31:10.000,8.3
M,29,96,113,2014-03-02 12:03:20.000,7.5
F,24,76,14,2014-03-03 08:01:05.000,11.4
M,42,6,272,2014-03-03 20:29:53.000,11.7
M,42,41,160,2014-03-04 11:49:59.000,13.1
M,25,67,162,2014-03-04 06:39:02.000,10.2
M,43,202,204,2014-03-04 21:28:29.000,4.0
M,57,85,174,2014-03-04 17:09:47.327,6.2
F,41,206,231,2014-03-05 21:27:59.000,32.7
F,29,270,117,2014-03-05 09:28:11.000,9.2
M,26,136,56,2014-03-05 10:26:59.000,4.4
M,26,252,31,2014-03-06 16:20:53.000,11.4
F,50,56,131,2014-03-06 08:52:10.000,11.6
M,29,237,230,2014-03-06 14:37:11.000,5.1
M,25,19,26,2014-03-07 16:12:05.960,6.2
F,29,44,73,2014-03-07 08:48:02.000,5.6
M,59,54,62,2014-03-07 10:59:59.543,6.8
F,28,41,42,2014-03-08 19:54:01.000,22.8
M,36,142,42,2014-03-09 15:35:57.000,9.9
F,33,230,259,2014-03-10 17:54:15.000,31.9
F,28,185,71,2014-03-10 21:57:18.000,16.8
M,23,72,36,2014-03-10 08:36:57.000,7.9
M,39,15,229,2014-03-11 17:48:36.000,19.2
M,47,19,19,2014-03-11 22:02:41.000,4.1
M,30,59,30,2014-03-11 06:57:48.000,9.9
M,30,76,78,2014-03-12 17:49:52.817,5.1
F,65,81,81,2014-03-12 22:54:00.000,20.4
F,48,186,74,2014-03-12 07:24:00.000,6.2
M,53,182,258,2014-03-12 12:47:51.000,13.9
M,27,136,154,2014-03-13 21:14:52.000,6.8
F,28,49,54,2014-03-13 10:21:23.000,8.4
M,29,146,127,2014-03-13 11:35:40.000,13.3
F,30,241,238,2014-03-14 15:51:10.000,14.0
M,31,52,3,2014-03-14 09:47:54.240,11.4
F,25,233,229,2014-03-14 10:21:55.000,4.6
M,44,85,23,2014-03-15 11:41:35.000,12.7
M,36,141,73,2014-03-16 17:54:44.000,11.4
M,23,237,227,2014-03-17 09:51:38.503,7.8
M,35,22,263,2014-03-18 19:06:36.000,12.8
F,53,177,73,2014-03-18 20:21:10.000,4.8
M,18,66,72,2014-03-18 15:08:02.000,1.4
M,28,262,100,2014-03-19 16:12:08.000,5.2
M,46,248,211,2014-03-19 18:55:46.630,11.8
F,28,84,68,2014-03-19 08:16:41.000,5.6
F,33,135,142,2014-03-20 16:01:23.000,10.3
M,29,32,2,2014-03-20 08:39:13.000,6.7
M,29,126,126,2014-03-20 10:37:20.000,8.8
M,27,82,7,2014-03-21 17:06:55.000,26.4
M,41,155,144,2014-03-21 18:47:15.000,7.4
F,47,28,236,2014-03-21 08:19:55.000,19.9
F,26,135,145,2014-03-22 15:13:57.000,9.5
M,39,38,25,2014-03-22 14:13:56.000,7.2
M,51,85,43,2014-03-23 11:37:33.000,34.4
F,52,38,53,2014-03-24 15:24:31.000,10.4
M,28,72,79,2014-03-24 23:19:36.000,5.2
M,24,234,219,2014-03-24 15:06:37.000,9.8
M,24,80,74,2014-03-25 16:12:24.000,2.2
M,21,205,170,2014-03-25 21:50:28.000,20.9
M,33,40,107,2014-03-25 06:41:39.000,6.7
M,35,119,119,2014-03-26 13:10:11.000,4.6
M,28,197,33,2014-03-26 18:58:20.000,27.4
M,42,272,23,2014-03-26 07:10:10.000,13.0
M,43,24,35,2014-03-27 22:44:46.000,9.4
M,40,180,130,2014-03-27 19:04:55.000,13.9
M,41,271,12,2014-03-27 08:50:01.000,8.8
F,32,203,251,2014-03-28 12:21:39.000,13.7
M,53,33,273,2014-03-28 18:29:27.000,13.8
F,31,80,59,2014-03-28 23:32:10.000,6.0
F,25,138,145,2014-03-29 16:19:08.000,5.3
M,25,174,174,2014-03-29 11:33:41.000,4.5
M,31,140,46,2014-03-30 11:41:23.083,16.2
F,24,132,30,2014-03-31 09:28:09.000,9.3
M,31,17,18,2014-03-31 21:04:37.000,1.7
M,54,8,113,2014-03-31 17:16:30.000,11.6
M,44,28,15,2014-04-01 22:30:38.000,33.8
F,42,260,18,2014-04-01 08:14:03.000,13.9
F,23,136,267,2014-04-02 18:25:29.000,19.3
M,42,117,255,2014-04-02 18:56:48.000,10.9
M,34,254,257,2014-04-02 13:40:07.000,4.8
M,45,236,238,2014-04-03 17:27:32.000,5.8
M,27,14,27,2014-04-03 19:19:23.727,7.9
M,28,80,152,2014-04-03 14:16:16.000,4.8
M,35,9,271,2014-04-04 18:12:37.000,12.6
M,26,241,243,2014-04-04 18:31:28.000,8.7
F,30,262,52,2014-04-04 13:57:00.000,10.1
F,18,106,100,2014-04-05 15:21:49.870,3.2
M,29,87,93,2014-04-05 12:48:26.000,7.5
M,44,19,134,2014-04-06 12:34:14.000,9.4
F,33,205,142,2014-04-07 21:02:21.000,23.6
F,37,224,236,2014-04-07 08:09:27.000,10.1
M,33,142,6,2014-04-07 12:59:51.000,15.1
M,22,32,41,2014-04-08 22:22:51.000,11.1
M,30,151,1,2014-04-08 20:27:21.000,16.3
M,31,21,27,2014-04-08 16:05:35.040,8.0
F,30,15,189,2014-04-09 00:15:40.207,21.9
M,42,73,152,2014-04-09 06:17:33.000,6.1
F,21,90,123,2014-04-10 15:20:43.237,14.0
M,32,116,36,2014-04-10 17:49:04.063,18.9
F,30,159,156,2014-04-10 09:24:04.000,4.7
M,25,29,96,2014-04-11 17:22:50.000,7.9
F,30,117,16,2014-04-11 22:18:29.327,8.9
M,36,188,226,2014-04-11 08:17:27.000,13.7
M,25,206,13,2014-04-12 15:36:17.000,33.4
F,27,6,56,2014-04-12 13:13:07.000,31.9
M,28,41,85,2014-04-13 14:07:11.000,9.3
F,55,13,67,2014-04-14 18:39:24.000,12.2
M,35,49,46,2014-04-14 14:06:48.160,4.1
M,27,212,66,2014-04-15 22:35:19.330,17.8
M,29,161,161,2014-04-15 13:49:38.000,90.7
M,24,53,217,2014-04-16 09:11:18.000,11.6
M,30,7,266,2014-04-16 15:00:11.000,18.9
M,30,142,158,2014-04-17 22:41:06.000,6.7
F,28,99,88,2014-04-18 11:23:38.000,11.2
F,29,252,257,2014-04-20 15:02:19.000,15.0
M,30,209,217,2014-04-21 17:26:28.000,18.0
F,30,1,18,2014-04-21 09:44:09.000,6.6
M,28,174,117,2014-04-21 20:04:33.000,13.0
M,24,56,158,2014-04-22 18:16:32.000,9.4
M,27,255,18,2014-04-22 08:00:08.000,5.3
M,41,25,268,2014-04-23 18:54:52.000,19.8
M,29,7,209,2014-04-23 09:26:27.000,21.9
M,23,39,183,2014-04-23 23:27:07.000,16.7
M,26,43,25,2014-04-24 21:07:07.000,12.8
M,27,237,235,2014-04-24 09:34:28.000,5.3
M,51,47,45,2014-04-24 12:04:48.000,6.5
M,25,36,72,2014-04-25 20:56:26.000,6.0
F,48,182,146,2014-04-25 13:53:29.000,10.3
M,26,6,193,2014-04-26 20:39:13.000,28.0
M,27,24,25,2014-04-27 13:12:26.000,31.8
F,26,226,13,2014-04-27 17:44:51.593,19.6
M,35,26,176,2014-04-28 19:53:58.000,12.2
M,26,175,189,2014-04-28 16:50:09.000,11.3
M,47,238,227,2014-04-29 08:20:46.000,7.8
F,19,136,136,2014-04-29 20:30:13.000,23.9
M,27,6,35,2014-04-29 09:47:29.000,4.3
M,30,27,118,2014-04-30 16:12:39.890,2.7
M,28,173,175,2014-04-30 13:35:25.000,13.2
M,26,271,22,2014-04-30 07:54:08.000,13.2
M,49,238,230,2014-05-01 10:36:58.000,3.4
F,24,74,66,2014-05-02 11:54:58.950,4.8
M,53,233,237,2014-05-02 22:10:24.000,2.6
M,31,51,49,2014-05-02 16:03:10.000,5.8
M,42,272,270,2014-05-03 12:19:30.000,3.3
M,33,47,147,2014-05-04 16:15:21.717,11.2
M,30,35,130,2014-05-05 19:28:00.000,7.2
F,33,254,11,2014-05-05 15:09:53.000,5.0
M,36,25,43,2014-05-06 16:53:00.000,14.3
F,39,13,27,2014-05-06 09:45:29.000,8.6
M,60,123,126,2014-05-06 10:35:41.000,6.0
M,29,256,144,2014-05-07 09:07:03.000,19.8
M,22,271,271,2014-05-07 19:27:01.000,4.1
F,36,238,252,2014-05-08 15:06:27.000,10.2
F,31,34,15,2014-05-08 08:04:12.000,10.0
M,53,123,123,2014-05-08 19:13:13.000,27.9
M,29,43,35,2014-05-09 14:31:26.000,27.5
M,39,179,242,2014-05-09 11:43:33.000,39.4
M,29,200,201,2014-05-09 19:39:02.000,1.6
F,29,169,173,2014-05-10 17:22:52.323,13.3
M,45,27,25,2014-05-11 13:35:53.000,39.9
M,27,106,107,2014-05-12 21:05:07.000,6.0
M,26,266,139,2014-05-12 06:57:24.000,17.4
M,26,256,98,2014-05-13 15:55:53.000,9.7
M,27,179,2,2014-05-13 18:06:49.000,24.6
M,28,53,110,2014-05-13 12:35:50.000,25.2
M,31,43,69,2014-05-14 15:58:26.000,29.9
M,24,38,54,2014-05-14 09:16:32.000,5.3
F,25,118,31,2014-05-14 14:39:29.000,3.9
M,27,1,18,2014-05-15 17:17:31.000,5.9
M,32,70,169,2014-05-15 10:07:30.000,8.7
F,18,46,61,2014-05-15 10:42:32.000,8.0
M,55,65,88,2014-05-16 16:50:57.000,16.9
M,58,59,194,2014-05-16 13:22:27.407,48.0
F,25,43,146,2014-05-17 17:08:46.000,19.0
F,40,64,30,2014-05-17 14:09:58.000,14.8
M,35,23,26,2014-05-18 11:41:01.000,34.6
M,26,22,106,2014-05-19 18:37:03.000,26.7
M,42,141,163,2014-05-19 20:22:38.000,8.0
F,36,175,250,2014-05-19 14:12:48.000,14.3
M,33,7,21,2014-05-20 07:59:51.000,3.4
F,30,106,99,2014-05-20 19:58:25.000,10.8
M,32,18,160,2014-05-20 14:19:57.000,11.7
M,31,34,174,2014-05-21 20:22:36.277,18.7
M,41,36,173,2014-05-21 07:35:49.000,11.2
F,34,57,84,2014-05-21 12:07:33.627,8.4
M,28,7,9,2014-05-22 22:35:41.000,3.5
M,24,21,247,2014-05-22 08:34:29.000,8.8
F,31,233,239,2014-05-23 06:49:19.000,8.7
F,42,23,4,2014-05-23 16:01:12.957,6.1
M,36,107,25,2014-05-23 12:31:09.000,9.3
F,35,1,18,2014-05-24 11:06:55.000,5.2
M,27,165,39,2014-05-25 14:42:54.000,9.0
M,25,28,205,2014-05-26 14:37:16.000,13.0
F,33,33,1,2014-05-26 08:34:42.000,7.0
M,26,65,122,2014-05-27 19:41:42.000,8.7
M,38,21,219,2014-05-27 08:59:11.000,18.0
M,26,23,27,2014-05-27 19:01:49.000,12.8
M,28,128,47,2014-05-28 14:32:33.000,6.0
M,24,74,54,2014-05-28 08:34:28.000,3.3
F,31,39,92,2014-05-28 10:26:30.000,22.3
M,24,60,258,2014-05-29 20:52:29.000,6.3
M,20,242,24,2014-05-29 09:54:22.000,22.0
M,38,215,213,2014-05-29 12:55:29.000,6.0
M,39,234,227,2014-05-30 23:23:06.000,171.9
M,33,77,67,2014-05-30 06:36:54.000,32.4
M,39,181,150,2014-05-31 18:31:50.000,6.8
M,29,77,44,2014-06-01 21:33:08.000,6.3
M,30,201,21,2014-06-02 17:56:12.000,11.6
M,32,270,274,2014-06-02 11:23:37.000,5.2
M,55,23,271,2014-06-02 21:06:26.000,13.6
M,41,271,182,2014-06-03 07:38:58.000,23.9
M,33,31,63,2014-06-03 20:01:59.000,33.7
F,26,27,12,2014-06-04 21:25:11.000,4.1
M,27,97,106,2014-06-04 07:26:03.000,2.5
M,34,50,50,2014-06-04 15:25:12.000,3.3
F,42,21,30,2014-06-05 17:26:24.000,9.7
M,44,242,216,2014-06-05 08:53:29.000,7.1
M,48,222,203,2014-06-05 09:50:53.000,5.0
M,24,24,72,2014-06-06 14:11:01.000,22.2
M,34,15,25,2014-06-06 22:16:48.490,21.0
M,41,56,136,2014-06-07 23:05:24.000,1.9
M,25,226,96,2014-06-08 14:29:44.797,30.6
M,31,197,204,2014-06-09 18:59:18.843,12.4
F,32,70,240,2014-06-09 12:51:32.000,48.9
M,37,47,65,2014-06-10 17:19:30.000,27.4
M,23,70,68,2014-06-10 18:38:19.000,3.4
F,34,140,87,2014-06-10 13:53:31.000,16.1
F,25,59,81,2014-06-11 13:42:51.000,4.4
M,24,80,84,2014-06-11 07:25:53.000,1.7
F,30,22,27,2014-06-11 19:10:30.000,7.6
M,32,51,4,2014-06-12 20:23:44.000,7.5
F,26,270,107,2014-06-12 08:02:53.000,10.2
M,52,172,172,2014-06-13 17:33:26.000,17.0
M,51,47,41,2014-06-13 19:29:40.000,27.7
M,59,50,74,2014-06-13 13:11:26.000,4.6
F,31,182,74,2014-06-14 22:39:28.000,6.0
M,30,25,257,2014-06-15 15:23:28.997,5.2
M,47,67,247,2014-06-16 07:55:37.000,16.2
F,26,77,62,2014-06-16 19:12:48.670,4.7
M,33,115,25,2014-06-16 13:05:14.000,6.8
M,62,14,31,2014-06-17 18:53:10.000,13.0
M,26,24,8,2014-06-17 14:24:38.000,8.2
M,42,27,26,2014-06-18 16:54:02.817,10.6
M,38,247,13,2014-06-18 09:51:45.000,7.3
M,40,236,215,2014-06-19 14:06:38.513,4.6
M,56,190,238,2014-06-19 09:11:13.000,11.6
M,62,119,114,2014-06-20 14:58:29.000,2.1
M,36,36,42,2014-06-20 08:46:01.000,6.3
F,36,178,167,2014-06-20 10:38:18.000,2.4
M,24,62,73,2014-06-21 12:40:03.000,2.3
M,40,24,232,2014-06-22 12:10:40.000,9.7
M,32,137,146,2014-06-23 19:15:49.000,7.8
F,41,72,58,2014-06-23 09:41:22.000,7.2
F,33,213,85,2014-06-24 19:32:46.000,28.6
M,46,217,9,2014-06-24 12:11:23.000,9.4
F,37,63,116,2014-06-25 17:21:15.000,15.0
M,29,41,255,2014-06-25 12:30:40.000,8.0
F,29,10,265,2014-06-26 19:46:10.000,8.1
M,27,267,26,2014-06-26 08:14:09.000,5.2
F,26,109,21,2014-06-27 14:37:36.000,28.2
M,36,205,44,2014-06-27 07:43:32.000,18.7
M,44,74,74,2014-06-27 19:55:10.000,11.8
M,56,49,181,2014-06-28 07:46:06.000,14.4
F,26,131,1,2014-06-29 13:27:06.593,15.2
M,33,229,27,2014-06-30 19:32:30.000,32.0
F,27,125,135,2014-06-30 10:15:43.000,4.0
M,34,197,208,2014-07-01 20:45:47.000,11.9
M,39,96,230,2014-07-01 06:34:51.000,30.2
F,25,206,208,2014-07-02 16:57:52.000,8.3
F,50,260,55,2014-07-02 18:51:14.443,7.2
M,41,106,106,2014-07-02 14:18:48.000,20.8
M,39,15,247,2014-07-03 17:09:39.000,6.8
M,22,158,139,2014-07-03 10:16:58.000,8.8
M,67,150,71,2014-07-03 12:43:29.643,6.7
M,32,96,82,2014-07-04 18:28:06.573,3.1
M,43,74,62,2014-07-04 12:39:58.000,3.5
M,31,266,4,2014-07-05 08:37:07.000,15.8
M,33,223,26,2014-07-06 07:13:37.000,14.2
F,48,87,254,2014-07-07 20:44:34.000,40.1
M,32,1,35,2014-07-07 08:41:28.000,6.4
M,26,27,183,2014-07-08 18:20:35.000,13.0
M,37,182,24,2014-07-08 19:39:02.560,15.4
M,37,105,29,2014-07-08 15:04:20.000,23.9
F,32,85,31,2014-07-09 15:23:14.000,5.1
M,48,231,214,2014-07-09 10:36:27.000,7.5
M,36,27,41,2014-07-10 17:21:13.000,6.3
M,42,148,137,2014-07-10 18:43:59.000,5.6
M,48,27,27,2014-07-10 13:58:36.000,13.2
M,30,19,266,2014-07-11 15:48:03.000,15.5
F,41,141,23,2014-07-11 09:14:52.000,10.9
M,39,166,167,2014-07-11 10:20:52.000,2.4
M,43,143,131,2014-07-12 19:43:56.000,8.9
F,33,253,247,2014-07-13 17:59:50.000,4.8
M,42,139,74,2014-07-14 16:47:58.897,10.3
M,34,120,214,2014-07-14 08:10:58.000,32.1
M,40,252,252,2014-07-15 16:35:41.000,5.5
M,24,18,267,2014-07-15 18:39:05.000,17.7
F,36,217,218,2014-07-15 14:29:24.000,3.2
F,23,183,130,2014-07-16 14:09:01.000,15.4
F,22,142,158,2014-07-16 17:47:58.000,7.2
F,25,247,86,2014-07-17 18:34:53.480,24.9
M,42,149,155,2014-07-17 08:32:14.000,4.7
M,36,257,35,2014-07-18 17:48:23.000,7.1
M,45,52,159,2014-07-18 20:25:33.000,34.2
M,29,161,158,2014-07-18 10:47:22.000,7.6
M,64,175,171,2014-07-19 09:27:52.000,2.9
F,44,27,260,2014-07-20 12:41:58.000,56.9
M,41,149,140,2014-07-21 17:27:32.000,5.9
M,46,250,201,2014-07-21 10:31:09.000,13.3
M,68,70,70,2014-07-21 12:48:25.000,22.2
M,49,42,162,2014-07-22 21:14:31.000,9.1
F,23,6,35,2014-07-22 08:20:46.000,8.3
M,53,45,66,2014-07-23 16:11:53.000,8.8
M,33,19,228,2014-07-23 08:52:44.000,21.2
M,47,234,47,2014-07-23 13:43:15.000,15.4
M,32,235,7,2014-07-24 19:31:38.013,17.0
F,46,74,51,2014-07-24 14:29:41.000,8.9
M,36,216,252,2014-07-25 15:28:06.000,12.9
M,60,236,233,2014-07-25 09:29:58.000,6.5
M,29,21,24,2014-07-25 12:06:12.000,3.7
F,26,61,142,2014-07-26 15:09:17.000,21.8
M,32,234,195,2014-07-27 10:40:46.000,28.5
M,27,31,249,2014-07-28 22:58:21.000,18.6
F,26,129,178,2014-07-28 13:37:20.047,22.4
M,43,82,194,2014-07-29 16:49:36.097,18.6
F,37,71,175,2014-07-29 09:45:24.000,10.0
M,58,87,109,2014-07-29 12:34:05.000,15.6
M,32,141,225,2014-07-30 19:35:10.000,21.2
M,50,271,257,2014-07-30 08:33:08.000,13.8
M,51,3,1,2014-07-31 18:33:16.000,7.6
M,57,10,183,2014-07-31 09:22:28.000,6.8
M,23,179,141,2014-07-31 15:13:54.000,11.6
M,49,217,246,2014-08-01 13:15:00.000,5.8
M,33,85,266,2014-08-01 19:02:09.000,20.3
M,29,82,65,2014-08-01 17:15:40.000,5.7
M,23,137,134,2014-08-02 13:22:33.000,5.9
M,21,36,33,2014-08-03 08:07:09.000,6.0
M,19,157,164,2014-08-04 16:12:35.000,3.0
F,43,182,51,2014-08-04 08:03:32.000,11.4
M,24,14,212,2014-08-05 16:29:57.040,17.4
M,27,150,136,2014-08-05 18:28:40.000,5.3
F,54,223,193,2014-08-05 13:13:23.000,19.2
M,32,205,159,2014-08-06 18:33:17.000,23.6
F,23,31,51,2014-08-06 20:10:37.000,14.0
F,26,72,63,2014-08-06 13:39:34.080,6.5
M,50,60,69,2014-08-07 16:38:27.660,7.8
M,37,144,136,2014-08-07 09:49:10.000,5.0
M,53,32,1,2014-08-07 12:38:51.000,12.3
M,36,106,92,2014-08-08 08:33:51.000,9.8
F,37,66,179,2014-08-08 19:28:50.000,8.1
M,25,105,48,2014-08-09 13:15:52.483,11.2
M,26,72,47,2014-08-10 00:12:08.000,17.9
M,41,62,149,2014-08-11 17:23:54.000,11.1
M,39,190,75,2014-08-11 19:23:51.743,5.9
F,50,32,13,2014-08-11 10:56:33.000,5.7
F,35,90,19,2014-08-12 16:44:53.000,16.0
M,30,271,130,2014-08-12 09:29:43.000,13.1
M,28,244,229,2014-08-13 14:46:55.000,16.7
M,31,144,108,2014-08-13 08:24:03.000,10.6
M,30,29,19,2014-08-14 15:09:45.000,10.8
M,28,271,200,2014-08-14 09:57:05.000,18.2
M,57,201,201,2014-08-14 12:47:22.587,29.2
M,18,143,159,2014-08-15 20:55:25.000,6.3
F,28,146,170,2014-08-15 08:32:05.000,14.8
M,30,69,257,2014-08-16 21:37:22.000,32.3
F,23,202,241,2014-08-17 14:38:17.000,6.6
F,52,212,216,2014-08-17 11:33:43.000,8.5
F,36,53,53,2014-08-18 18:09:00.000,26.1
F,27,69,56,2014-08-18 10:20:49.000,6.6
M,35,181,58,2014-08-19 19:50:20.000,6.5
F,33,147,64,2014-08-19 07:10:52.000,7.3
M,30,42,129,2014-08-20 17:11:18.000,3.3
F,24,6,9,2014-08-20 21:38:30.000,4.5
M,38,271,270,2014-08-20 08:31:32.000,18.9
M,44,41,266,2014-08-21 18:57:38.000,7.2
F,21,143,71,2014-08-21 12:00:04.000,11.1
M,39,122,15,2014-08-21 14:54:05.000,36.7
M,23,174,178,2014-08-22 07:09:25.000,22.1
F,30,272,52,2014-08-22 10:12:20.000,11.4
M,31,28,112,2014-08-23 03:32:57.783,541.5
F,33,85,35,2014-08-23 12:05:36.490,10.2
M,27,136,72,2014-08-24 14:05:40.000,8.4
M,23,17,258,2014-08-25 22:39:50.667,10.4
M,42,141,151,2014-08-25 07:26:28.000,3.8
M,23,135,120,2014-08-26 10:43:16.000,9.3
F,24,212,217,2014-08-26 08:49:26.000,2.7
M,43,250,14,2014-08-26 15:12:36.000,8.4
M,29,149,138,2014-08-27 20:19:39.000,5.7
M,34,8,36,2014-08-27 13:05:55.000,13.9
M,61,238,236,2014-08-27 07:09:54.000,8.7
M,16,77,60,2014-08-28 18:47:59.323,10.1
M,30,80,85,2014-08-28 19:35:04.000,28.0
F,21,24,64,2014-08-28 14:44:47.000,11.4
F,38,38,25,2014-08-29 06:49:43.000,7.7
M,48,205,196,2014-08-29 19:43:08.000,6.8
M,57,17,96,2014-08-29 13:19:05.220,16.7
M,27,134,155,2014-08-30 22:02:07.000,13.1
M,34,63,83,2014-08-31 15:17:00.660,4.1
F,26,146,146,2014-09-01 17:02:07.000,8.6
M,44,212,212,2014-09-01 16:55:31.000,20.8
F,25,12,14,2014-09-01 08:50:54.000,8.8
F,33,145,146,2014-09-02 22:13:24.000,6.7
M,30,194,235,2014-09-02 07:59:32.000,11.5
M,34,113,107,2014-09-03 15:34:31.000,6.1
F,32,69,127,2014-09-03 09:53:25.000,82.4
M,40,1,242,2014-09-03 10:32:45.000,18.9
M,32,21,121,2014-09-04 18:21:07.000,9.1
M,40,24,24,2014-09-04 12:11:18.937,8.8
M,41,74,74,2014-09-05 15:59:02.000,18.5
F,27,116,14,2014-09-05 09:47:17.000,17.2
M,21,266,178,2014-09-05 12:19:13.000,28.0
M,46,24,43,2014-09-06 11:10:14.000,12.0
M,39,149,46,2014-09-07 18:33:47.190,21.6
F,32,2,63,2014-09-08 13:08:02.000,15.3
M,38,261,247,2014-09-08 08:04:54.000,6.7
M,43,227,235,2014-09-08 18:03:03.000,3.5
F,30,6,31,2014-09-09 19:44:56.000,12.5
M,22,43,104,2014-09-09 06:44:53.000,8.0
M,27,82,3,2014-09-10 16:13:48.000,9.7
M,32,1,254,2014-09-10 18:59:47.000,13.7
M,40,275,183,2014-09-10 13:33:08.000,17.1
M,39,137,126,2014-09-11 15:00:34.000,5.4
M,43,174,120,2014-09-11 08:38:15.000,11.1
M,49,148,141,2014-09-11 10:01:09.900,4.6
M,30,99,6,2014-09-12 22:41:41.000,18.6
M,21,267,125,2014-09-12 08:41:14.000,10.7
M,22,52,266,2014-09-13 16:03:10.337,10.0
F,28,119,34,2014-09-14 16:46:17.000,5.5
M,24,14,27,2014-09-15 16:39:39.000,7.0
M,67,27,23,2014-09-15 11:13:00.000,5.7
F,32,15,49,2014-09-16 18:01:13.140,9.6
M,57,7,1,2014-09-17 17:37:53.230,43.1
F,59,83,78,2014-09-17 08:55:26.000,4.8
M,36,164,158,2014-09-17 11:53:16.947,29.5
F,53,59,84,2014-09-18 16:33:22.000,5.6
M,36,158,120,2014-09-18 10:06:01.000,12.4
M,31,64,172,2014-09-18 13:02:37.000,25.5
M,32,52,260,2014-09-19 22:30:25.000,3.5
F,35,39,16,2014-09-19 07:57:58.000,4.9
