,Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
1199,M,44,112,264,2013-11-28 17:38:44.000,9.9
1200,M,28,229,205,2013-11-28 19:48:38.000,12.4
1201,M,38,143,63,2013-11-28 11:41:59.000,21.6
1202,F,31,225,208,2013-11-29 18:02:06.000,6.8
1203,M,35,253,260,2013-11-29 19:38:44.590,21.3
1204,F,65,115,96,2013-11-29 14:42:03.000,11.9
1205,M,26,163,163,2013-11-30 19:31:34.000,12.4
1206,F,27,191,68,2013-12-01 23:59:06.000,7.7
1207,M,23,10,119,2013-12-02 18:06:14.703,4.3
1208,M,39,115,34,2013-12-02 19:22:37.000,6.3
1209,M,31,148,145,2013-12-02 14:25:31.000,3.0
1210,M,22,140,120,2013-12-03 17:00:27.000,9.7
1211,M,37,69,141,2013-12-03 10:04:19.000,7.5
1212,F,30,182,14,2013-12-03 10:45:57.000,11.8
1213,M,23,18,158,2013-12-04 21:23:56.000,36.3
1214,F,31,84,71,2013-12-04 09:28:54.000,3.4
1215,M,64,151,155,2013-12-04 12:57:23.000,13.8
1216,M,27,207,21,2013-12-05 21:09:50.000,10.9
1217,M,29,124,99,2013-12-05 09:51:39.000,8.3
1218,F,30,62,49,2013-12-05 13:10:57.000,6.1
1219,F,34,84,53,2013-12-06 22:29:44.000,10.0
1220,M,48,29,25,2013-12-06 08:34:02.000,10.0
1221,F,23,86,238,2013-12-07 15:34:40.000,24.2
1222,M,23,20,32,2013-12-08 17:39:02.310,19.1
1223,M,49,245,185,2013-12-08 13:03:19.000,19.0
1224,M,24,170,79,2013-12-09 19:01:23.000,6.8
1225,M,29,235,233,2013-12-09 13:37:22.000,3.0
1226,M,51,22,29,2013-12-10 18:18:57.000,13.2
1227,F,21,261,31,2013-12-10 20:06:53.000,13.7
1228,F,30,255,267,2013-12-10 13:30:30.000,15.4
1229,F,37,222,247,2013-12-11 15:31:30.000,11.8
1230,M,25,141,159,2013-12-11 19:15:30.000,5.8
1231,M,26,261,261,2013-12-11 15:11:53.000,24.6
1232,F,27,198,229,2013-12-12 16:43:07.000,21.8
1233,F,23,187,70,2013-12-12 10:14:07.000,11.2
1234,M,52,27,107,2013-12-13 17:19:44.000,5.3
1235,M,23,193,192,2013-12-13 18:47:34.000,0.6
1236,M,29,19,29,2013-12-13 13:48:47.000,8.3
1237,F,23,9,1,2013-12-14 20:14:34.460,6.5
1238,M,50,125,47,2013-12-15 17:01:55.000,8.4
1239,M,27,75,71,2013-12-16 17:56:04.000,4.9
1240,F,26,214,210,2013-12-16 19:17:29.000,9.3
1241,M,45,191,171,2013-12-16 14:23:49.953,8.1
1242,F,23,222,246,2013-12-17 15:54:20.543,12.8
1243,M,25,163,136,2013-12-17 09:11:45.000,7.6
1244,M,25,81,136,2013-12-17 14:39:47.567,12.7
1245,M,34,75,84,2013-12-18 16:21:42.000,4.2
1246,M,46,249,201,2013-12-18 09:48:48.000,16.9
1247,M,56,84,64,2013-12-18 12:00:31.000,4.6
1248,M,22,24,204,2013-12-19 19:30:14.000,17.7
1249,M,40,68,61,2013-12-19 14:05:48.000,4.0
1250,M,28,221,242,2013-12-20 15:02:15.000,9.5
1251,F,29,84,56,2013-12-20 10:39:16.000,8.0
1252,M,28,54,49,2013-12-21 16:44:18.000,3.1
1253,M,29,55,257,2013-12-21 13:29:32.000,35.5
1254,M,50,235,236,2013-12-23 17:55:07.000,6.7
1255,F,26,134,150,2013-12-23 08:12:56.000,7.9
1256,M,31,1,6,2013-12-24 20:18:56.017,8.2
1257,M,19,5,35,2013-12-26 16:56:39.000,7.1
1258,M,42,170,21,2013-12-26 08:46:13.000,13.5
1259,F,43,68,70,2013-12-27 16:03:33.600,115.2
1260,M,28,87,87,2013-12-28 20:00:45.613,16.4
1261,F,42,27,121,2013-12-29 13:19:10.000,9.9
1262,F,24,26,29,2013-12-30 12:39:35.000,4.2
1263,M,28,197,215,2013-12-31 09:26:43.000,5.2
1264,M,65,87,43,2014-01-01 15:42:01.000,7.9
1265,M,35,11,174,2014-01-02 19:12:25.523,6.5
1266,M,37,55,132,2014-01-03 00:02:50.647,18.2
1267,M,29,159,131,2014-01-03 12:39:25.000,10.2
1268,M,42,51,107,2014-01-05 16:49:08.000,23.7
1269,F,23,68,51,2014-01-06 17:41:53.000,27.3
1270,M,20,14,41,2014-01-06 09:55:58.000,14.4
1271,M,68,11,85,2014-01-06 14:47:57.000,17.0
1272,M,26,108,12,2014-01-07 09:25:54.000,7.7
1273,M,27,257,34,2014-01-07 17:03:08.250,7.0
1274,M,42,14,247,2014-01-08 16:53:18.000,7.4
1275,M,35,179,38,2014-01-08 09:58:25.000,14.5
1276,M,47,203,241,2014-01-09 09:37:32.000,9.1
1277,M,31,80,64,2014-01-09 17:42:59.000,5.9
1278,M,23,6,254,2014-01-09 13:44:05.000,8.8
1279,F,22,47,124,2014-01-10 15:32:25.000,14.8
1280,F,30,72,59,2014-01-10 10:04:58.000,9.6
1281,M,67,21,18,2014-01-10 13:24:08.000,11.5
1282,F,26,27,183,2014-01-11 14:09:14.000,31.9
1283,M,46,29,146,2014-01-12 08:52:13.000,20.7
1284,M,28,270,256,2014-01-13 12:06:03.000,3.9
1285,M,40,230,206,2014-01-13 17:54:21.000,4.6
1286,M,30,228,81,2014-01-13 09:58:41.000,24.8
1287,M,34,105,29,2014-01-14 12:52:53.000,12.4
1288,M,26,63,39,2014-01-14 18:35:07.000,8.6
1289,M,34,31,24,2014-01-15 19:25:05.000,14.4
1290,F,26,86,2,2014-01-15 09:47:52.000,8.0
1291,M,36,151,66,2014-01-15 16:47:59.087,13.6
1292,F,32,64,120,2014-01-16 21:23:53.000,11.9
1293,F,26,28,163,2014-01-16 17:46:44.000,28.0
1294,M,32,207,219,2014-01-16 19:30:48.000,21.8
1295,F,28,29,29,2014-01-17 10:33:00.000,34.0
1296,F,27,130,30,2014-01-17 15:40:22.000,6.1
1297,M,33,85,174,2014-01-18 15:39:10.000,4.7
1298,M,30,241,221,2014-01-18 12:09:18.000,15.1
1299,M,57,43,19,2014-01-19 10:04:06.000,8.6
1300,M,28,74,69,2014-01-20 20:19:38.000,6.0
1301,M,38,28,247,2014-01-20 09:11:09.000,10.7
1302,M,35,1,30,2014-01-21 17:48:10.000,5.7
1303,M,23,261,112,2014-01-21 19:16:44.000,19.7
1304,M,24,136,18,2014-01-21 08:19:45.000,6.4
1305,M,28,113,73,2014-01-22 10:27:33.000,16.4
1306,M,36,238,226,2014-01-22 18:24:59.000,7.6
1307,M,41,2,4,2014-01-22 15:30:07.000,2.5
1308,M,23,87,48,2014-01-23 13:26:23.000,4.7
1309,M,32,50,38,2014-01-23 11:07:07.000,8.6
1310,F,25,13,27,2014-01-23 18:38:06.970,13.6
1311,M,26,24,188,2014-01-24 00:48:52.523,22.5
1312,F,52,215,12,2014-01-24 17:33:17.000,39.9
1313,M,42,21,206,2014-01-24 15:18:16.193,20.5
1314,M,26,66,80,2014-01-25 00:22:04.110,9.5
1315,F,26,145,152,2014-01-26 18:37:06.000,8.8
1316,M,25,236,13,2014-01-27 17:19:31.000,16.6
1317,F,24,261,31,2014-01-27 18:23:28.000,10.6
1318,M,67,209,209,2014-01-27 09:57:56.000,2.5
1319,M,36,48,48,2014-01-28 12:58:30.000,10.4
1320,M,31,16,267,2014-01-28 20:42:28.000,25.7
1321,M,49,234,112,2014-01-28 09:35:20.000,24.3
1322,F,37,169,150,2014-01-29 20:04:39.000,10.3
1323,M,28,175,188,2014-01-29 23:02:49.323,12.9
1324,M,36,124,123,2014-01-29 17:27:04.000,2.1
1325,F,49,80,51,2014-01-30 17:11:57.000,9.1
1326,M,33,112,30,2014-01-30 09:10:07.000,10.6
1327,M,33,19,192,2014-01-30 11:42:19.000,15.1
1328,M,24,86,116,2014-01-31 15:59:37.713,4.6
1329,F,23,53,70,2014-01-31 10:15:02.000,10.2
1330,M,68,66,29,2014-01-31 11:38:08.000,30.1
1331,M,61,74,129,2014-02-01 15:43:41.000,10.6
1332,M,26,2,35,2014-02-02 10:46:17.000,7.9
1333,M,46,68,58,2014-02-03 20:04:22.487,2.9
1334,M,30,67,168,2014-02-04 14:15:36.000,7.3
1335,F,27,27,158,2014-02-04 20:00:12.000,24.2
1336,M,38,77,146,2014-02-04 15:08:20.000,9.9
1337,M,49,54,118,2014-02-05 15:47:19.000,14.6
1338,M,31,176,118,2014-02-05 08:45:37.000,12.2
1339,M,32,167,68,2014-02-05 15:16:46.430,10.2
1340,F,26,150,126,2014-02-06 11:58:43.000,12.1
1341,M,22,16,53,2014-02-06 18:30:38.750,9.9
1342,M,33,66,46,2014-02-06 14:20:33.000,19.3
1343,M,38,24,31,2014-02-07 15:00:12.000,5.7
1344,M,39,221,237,2014-02-07 09:18:34.000,5.7
1345,M,31,15,18,2014-02-07 14:23:02.607,5.5
1346,M,48,212,213,2014-02-08 20:02:52.000,16.2
1347,F,27,134,121,2014-02-09 15:50:07.000,11.3
1348,M,52,234,15,2014-02-09 13:06:10.000,14.0
1349,M,34,130,126,2014-02-10 23:18:58.470,5.9
1350,F,35,104,134,2014-02-10 07:41:07.000,18.9
1351,F,39,206,21,2014-02-11 16:35:03.000,18.4
1352,M,46,167,73,2014-02-11 20:10:09.000,6.6
1353,M,31,252,212,2014-02-11 08:08:04.000,9.6
1354,M,21,229,238,2014-02-12 21:01:28.000,8.8
1355,F,31,208,249,2014-02-12 19:43:18.427,9.3
1356,M,48,266,5,2014-02-12 08:24:01.000,31.7
1357,F,28,238,169,2014-02-13 19:05:29.000,23.4
1358,M,22,21,28,2014-02-13 19:03:56.153,2.7
1359,M,38,59,59,2014-02-13 08:00:41.000,2.8
1360,M,46,85,266,2014-02-14 16:23:30.000,12.6
1361,M,33,64,72,2014-02-14 17:37:17.000,21.5
1362,M,40,248,32,2014-02-14 10:38:56.000,29.9
1363,F,30,32,27,2014-02-15 14:53:51.000,5.8
1364,F,32,25,194,2014-02-15 13:28:25.000,23.2
1365,F,23,142,158,2014-02-16 13:22:40.000,7.1
1366,M,32,253,217,2014-02-17 16:31:26.000,9.6
1367,M,49,28,24,2014-02-17 10:25:32.000,3.0
1368,M,45,21,24,2014-02-17 13:10:45.067,7.2
1369,M,55,211,26,2014-02-18 21:17:06.000,18.3
1370,M,49,43,18,2014-02-18 10:17:23.000,13.0
1371,M,25,122,270,2014-02-18 10:50:04.000,12.7
1372,M,42,148,145,2014-02-19 17:49:55.000,3.3
1373,M,44,125,25,2014-02-19 08:12:02.000,11.2
1374,M,36,43,96,2014-02-19 22:58:22.933,14.6
1375,M,26,238,83,2014-02-20 19:35:01.000,28.2
1376,M,61,60,64,2014-02-20 18:58:00.977,13.1
1377,F,23,12,14,2014-02-20 13:27:45.000,9.3
1378,M,19,255,160,2014-02-21 15:35:05.000,4.7
1379,M,28,77,60,2014-02-21 17:48:12.000,8.4
1380,M,33,241,70,2014-02-21 13:42:23.000,31.3
1381,M,30,32,27,2014-02-22 15:17:34.000,11.8
1382,M,59,194,27,2014-02-22 12:58:47.553,26.8
1383,M,48,117,112,2014-02-23 10:13:25.000,9.8
1384,M,48,87,1,2014-02-24 15:51:03.000,27.7
1385,M,42,15,116,2014-02-24 21:26:51.000,9.0
1386,F,29,28,1,2014-02-24 18:02:23.000,10.9
1387,M,28,213,178,2014-02-25 18:06:20.230,34.1
1388,M,25,84,165,2014-02-25 13:40:48.000,7.2
1389,M,32,212,258,2014-02-25 19:37:30.000,21.1
1390,M,19,168,177,2014-02-26 12:18:35.000,5.2
1391,M,41,139,135,2014-02-26 19:30:56.000,6.4
1392,F,53,115,160,2014-02-26 18:20:23.000,12.1
1393,M,28,179,61,2014-02-27 15:05:12.940,5.9
1394,M,30,18,41,2014-02-27 16:49:32.000,8.9
1395,F,23,80,74,2014-02-27 13:06:54.000,3.3
1396,M,33,223,230,2014-02-27 19:16:18.000,7.3
1397,F,23,156,61,2014-02-28 18:41:43.777,8.6
1398,M,29,126,131,2014-02-28 07:48:26.000,2.0
1399,M,45,13,272,2014-02-28 19:43:44.000,12.3
1400,M,35,66,61,2014-03-01 14:27:51.907,6.5
1401,F,26,130,149,2014-03-02 15:31:10.000,8.3
1402,M,29,96,113,2014-03-02 12:03:20.000,7.5
1403,F,24,76,14,2014-03-03 08:01:05.000,11.4
1404,M,42,6,272,2014-03-03 20:29:53.000,11.7
1405,M,42,41,160,2014-03-04 11:49:59.000,13.1
1406,M,25,67,162,2014-03-04 06:39:02.000,10.2
1407,M,43,202,204,2014-03-04 21:28:29.000,4.0
1408,M,57,85,174,2014-03-04 17:09:47.327,6.2
1409,F,41,206,231,2014-03-05 21:27:59.000,32.7
1410,F,29,270,117,2014-03-05 09:28:11.000,9.2
1411,M,26,136,56,2014-03-05 10:26:59.000,4.4
1412,M,26,252,31,2014-03-06 16:20:53.000,11.4
1413,F,50,56,131,2014-03-06 08:52:10.000,11.6
1414,M,29,237,230,2014-03-06 14:37:11.000,5.1
1415,M,25,19,26,2014-03-07 16:12:05.960,6.2
1416,F,29,44,73,2014-03-07 08:48:02.000,5.6
1417,M,59,54,62,2014-03-07 10:59:59.543,6.8
1418,F,28,41,42,2014-03-08 19:54:01.000,22.8
1419,M,36,142,42,2014-03-09 15:35:57.000,9.9
1420,F,33,230,259,2014-03-10 17:54:15.000,31.9
1421,F,28,185,71,2014-03-10 21:57:18.000,16.8
1422,M,23,72,36,2014-03-10 08:36:57.000,7.9
1423,M,39,15,229,2014-03-11 17:48:36.000,19.2
1424,M,47,19,19,2014-03-11 22:02:41.000,4.1
1425,M,30,59,30,2014-03-11 06:57:48.000,9.9
1426,M,30,76,78,2014-03-12 17:49:52.817,5.1
1427,F,65,81,81,2014-03-12 22:54:00.000,20.4
1428,F,48,186,74,2014-03-12 07:24:00.000,6.2
1429,M,53,182,258,2014-03-12 12:47:51.000,13.9
1430,M,27,136,154,2014-03-13 21:14:52.000,6.8
1431,F,28,49,54,2014-03-13 10:21:23.000,8.4
1432,M,29,146,127,2014-03-13 11:35:40.000,13.3
1433,F,30,241,238,2014-03-14 15:51:10.000,14.0
1434,M,31,52,3,2014-03-14 09:47:54.240,11.4
1435,F,25,233,229,2014-03-14 10:21:55.000,4.6
1436,M,44,85,23,2014-03-15 11:41:35.000,12.7
1437,M,36,141,73,2014-03-16 17:54:44.000,11.4
1438,M,23,237,227,2014-03-17 09:51:38.503,7.8
1439,M,35,22,263,2014-03-18 19:06:36.000,12.8
1440,F,53,177,73,2014-03-18 20:21:10.000,4.8
1441,M,18,66,72,2014-03-18 15:08:02.000,1.4
1442,M,28,262,100,2014-03-19 16:12:08.000,5.2
1443,M,46,248,211,2014-03-19 18:55:46.630,11.8
1444,F,28,84,68,2014-03-19 08:16:41.000,5.6
1445,F,33,135,142,2014-03-20 16:01:23.000,10.3
1446,M,29,32,2,2014-03-20 08:39:13.000,6.7
1447,M,29,126,126,2014-03-20 10:37:20.000,8.8
1448,M,27,82,7,2014-03-21 17:06:55.000,26.4
1449,M,41,155,144,2014-03-21 18:47:15.000,7.4
1450,F,47,28,236,2014-03-21 08:19:55.000,19.9
1451,F,26,135,145,2014-03-22 15:13:57.000,9.5
1452,M,39,38,25,2014-03-22 14:13:56.000,7.2
1453,M,51,85,43,2014-03-23 11:37:33.000,34.4
1454,F,52,38,53,2014-03-24 15:24:31.000,10.4
1455,M,28,72,79,2014-03-24 23:19:36.000,5.2
1456,M,24,234,219,2014-03-24 15:06:37.000,9.8
1457,M,24,80,74,2014-03-25 16:12:24.000,2.2
1458,M,21,205,170,2014-03-25 21:50:28.000,20.9
1459,M,33,40,107,2014-03-25 06:41:39.000,6.7
1460,M,35,119,119,2014-03-26 13:10:11.000,4.6
1461,M,28,197,33,2014-03-26 18:58:20.000,27.4
1462,M,42,272,23,2014-03-26 07:10:10.000,13.0
1463,M,43,24,35,2014-03-27 22:44:46.000,9.4
1464,M,40,180,130,2014-03-27 19:04:55.000,13.9
1465,M,41,271,12,2014-03-27 08:50:01.000,8.8
1466,F,32,203,251,2014-03-28 12:21:39.000,13.7
1467,M,53,33,273,2014-03-28 18:29:27.000,13.8
1468,F,31,80,59,2014-03-28 23:32:10.000,6.0
1469,F,25,138,145,2014-03-29 16:19:08.000,5.3
1470,M,25,174,174,2014-03-29 11:33:41.000,4.5
1471,M,31,140,46,2014-03-30 11:41:23.083,16.2
1472,F,24,132,30,2014-03-31 09:28:09.000,9.3
1473,M,31,17,18,2014-03-31 21:04:37.000,1.7
1474,M,54,8,113,2014-03-31 17:16:30.000,11.6
1475,M,44,28,15,2014-04-01 22:30:38.000,33.8
1476,F,42,260,18,2014-04-01 08:14:03.000,13.9
1477,F,23,136,267,2014-04-02 18:25:29.000,19.3
1478,M,42,117,255,2014-04-02 18:56:48.000,10.9
1479,M,34,254,257,2014-04-02 13:40:07.000,4.8
1480,M,45,236,238,2014-04-03 17:27:32.000,5.8
1481,M,27,14,27,2014-04-03 19:19:23.727,7.9
1482,M,28,80,152,2014-04-03 14:16:16.000,4.8
1483,M,35,9,271,2014-04-04 18:12:37.000,12.6
1484,M,26,241,243,2014-04-04 18:31:28.000,8.7
1485,F,30,262,52,2014-04-04 13:57:00.000,10.1
1486,F,18,106,100,2014-04-05 15:21:49.870,3.2
1487,M,29,87,93,2014-04-05 12:48:26.000,7.5
1488,M,44,19,134,2014-04-06 12:34:14.000,9.4
1489,F,33,205,142,2014-04-07 21:02:21.000,23.6
1490,F,37,224,236,2014-04-07 08:09:27.000,10.1
1491,M,33,142,6,2014-04-07 12:59:51.000,15.1
1492,M,22,32,41,2014-04-08 22:22:51.000,11.1
1493,M,30,151,1,2014-04-08 20:27:21.000,16.3
1494,M,31,21,27,2014-04-08 16:05:35.040,8.0
1495,F,30,15,189,2014-04-09 00:15:40.207,21.9
1496,M,42,73,152,2014-04-09 06:17:33.000,6.1
1497,F,21,90,123,2014-04-10 15:20:43.237,14.0
1498,M,32,116,36,2014-04-10 17:49:04.063,18.9
1499,F,30,159,156,2014-04-10 09:24:04.000,4.7
1500,M,25,29,96,2014-04-11 17:22:50.000,7.9
1501,F,30,117,16,2014-04-11 22:18:29.327,8.9
1502,M,36,188,226,2014-04-11 08:17:27.000,13.7
1503,M,25,206,13,2014-04-12 15:36:17.000,33.4
1504,F,27,6,56,2014-04-12 13:13:07.000,31.9
1505,M,28,41,85,2014-04-13 14:07:11.000,9.3
1506,F,55,13,67,2014-04-14 18:39:24.000,12.2
1507,M,35,49,46,2014-04-14 14:06:48.160,4.1
1508,M,27,212,66,2014-04-15 22:35:19.330,17.8
1509,M,29,161,161,2014-04-15 13:49:38.000,90.7
1510,M,24,53,217,2014-04-16 09:11:18.000,11.6
1511,M,30,7,266,2014-04-16 15:00:11.000,18.9
1512,M,30,142,158,2014-04-17 22:41:06.000,6.7
1513,F,28,99,88,2014-04-18 11:23:38.000,11.2
1514,F,29,252,257,2014-04-20 15:02:19.000,15.0
1515,M,30,209,217,2014-04-21 17:26:28.000,18.0
1516,F,30,1,18,2014-04-21 09:44:09.000,6.6
1517,M,28,174,117,2014-04-21 20:04:33.000,13.0
1518,M,24,56,158,2014-04-22 18:16:32.000,9.4
1519,M,27,255,18,2014-04-22 08:00:08.000,5.3
1520,M,41,25,268,2014-04-23 18:54:52.000,19.8
1521,M,29,7,209,2014-04-23 09:26:27.000,21.9
1522,M,23,39,183,2014-04-23 23:27:07.000,16.7
1523,M,26,43,25,2014-04-24 21:07:07.000,12.8
1524,M,27,237,235,2014-04-24 09:34:28.000,5.3
1525,M,51,47,45,2014-04-24 12:04:48.000,6.5
1526,M,25,36,72,2014-04-25 20:56:26.000,6.0
1527,F,48,182,146,2014-04-25 13:53:29.000,10.3
1528,M,26,6,193,2014-04-26 20:39:13.000,28.0
1529,M,27,24,25,2014-04-27 13:12:26.000,31.8
1530,F,26,226,13,2014-04-27 17:44:51.593,19.6
1531,M,35,26,176,2014-04-28 19:53:58.000,12.2
1532,M,26,175,189,2014-04-28 16:50:09.000,11.3
1533,M,47,238,227,2014-04-29 08:20:46.000,7.8
1534,F,19,136,136,2014-04-29 20:30:13.000,23.9
1535,M,27,6,35,2014-04-29 09:47:29.000,4.3
1536,M,30,27,118,2014-04-30 16:12:39.890,2.7
1537,M,28,173,175,2014-04-30 13:35:25.000,13.2
1538,M,26,271,22,2014-04-30 07:54:08.000,13.2
1539,M,49,238,230,2014-05-01 10:36:58.000,3.4
1540,F,24,74,66,2014-05-02 11:54:58.950,4.8
1541,M,53,233,237,2014-05-02 22:10:24.000,2.6
1542,M,31,51,49,2014-05-02 16:03:10.000,5.8
1543,M,42,272,270,2014-05-03 12:19:30.000,3.3
1544,M,33,47,147,2014-05-04 16:15:21.717,11.2
1545,M,30,35,130,2014-05-05 19:28:00.000,7.2
1546,F,33,254,11,2014-05-05 15:09:53.000,5.0
1547,M,36,25,43,2014-05-06 16:53:00.000,14.3
1548,F,39,13,27,2014-05-06 09:45:29.000,8.6
1549,M,60,123,126,2014-05-06 10:35:41.000,6.0
1550,M,29,256,144,2014-05-07 09:07:03.000,19.8
1551,M,22,271,271,2014-05-07 19:27:01.000,4.1
1552,F,36,238,252,2014-05-08 15:06:27.000,10.2
1553,F,31,34,15,2014-05-08 08:04:12.000,10.0
1554,M,53,123,123,2014-05-08 19:13:13.000,27.9
1555,M,29,43,35,2014-05-09 14:31:26.000,27.5
1556,M,39,179,242,2014-05-09 11:43:33.000,39.4
1557,M,29,200,201,2014-05-09 19:39:02.000,1.6
1558,F,29,169,173,2014-05-10 17:22:52.323,13.3
1559,M,45,27,25,2014-05-11 13:35:53.000,39.9
1560,M,27,106,107,2014-05-12 21:05:07.000,6.0
1561,M,26,266,139,2014-05-12 06:57:24.000,17.4
1562,M,26,256,98,2014-05-13 15:55:53.000,9.7
1563,M,27,179,2,2014-05-13 18:06:49.000,24.6
1564,M,28,53,110,2014-05-13 12:35:50.000,25.2
1565,M,31,43,69,2014-05-14 15:58:26.000,29.9
1566,M,24,38,54,2014-05-14 09:16:32.000,5.3
1567,F,25,118,31,2014-05-14 14:39:29.000,3.9
1568,M,27,1,18,2014-05-15 17:17:31.000,5.9
1569,M,32,70,169,2014-05-15 10:07:30.000,8.7
1570,F,18,46,61,2014-05-15 10:42:32.000,8.0
1571,M,55,65,88,2014-05-16 16:50:57.000,16.9
1572,M,58,59,194,2014-05-16 13:22:27.407,48.0
1573,F,25,43,146,2014-05-17 17:08:46.000,19.0
1574,F,40,64,30,2014-05-17 14:09:58.000,14.8
1575,M,35,23,26,2014-05-18 11:41:01.000,34.6
1576,M,26,22,106,2014-05-19 18:37:03.000,26.7
1577,M,42,141,163,2014-05-19 20:22:38.000,8.0
1578,F,36,175,250,2014-05-19 14:12:48.000,14.3
1579,M,33,7,21,2014-05-20 07:59:51.000,3.4
1580,F,30,106,99,2014-05-20 19:58:25.000,10.8
1581,M,32,18,160,2014-05-20 14:19:57.000,11.7
1582,M,31,34,174,2014-05-21 20:22:36.277,18.7
1583,M,41,36,173,2014-05-21 07:35:49.000,11.2
1584,F,34,57,84,2014-05-21 12:07:33.627,8.4
1585,M,28,7,9,2014-05-22 22:35:41.000,3.5
1586,M,24,21,247,2014-05-22 08:34:29.000,8.8
1587,F,31,233,239,2014-05-23 06:49:19.000,8.7
1588,F,42,23,4,2014-05-23 16:01:12.957,6.1
1589,M,36,107,25,2014-05-23 12:31:09.000,9.3
1590,F,35,1,18,2014-05-24 11:06:55.000,5.2
1591,M,27,165,39,2014-05-25 14:42:54.000,9.0
1592,M,25,28,205,2014-05-26 14:37:16.000,13.0
1593,F,33,33,1,2014-05-26 08:34:42.000,7.0
1594,M,26,65,122,2014-05-27 19:41:42.000,8.7
1595,M,38,21,219,2014-05-27 08:59:11.000,18.0
1596,M,26,23,27,2014-05-27 19:01:49.000,12.8
1597,M,28,128,47,2014-05-28 14:32:33.000,6.0
1598,M,24,74,54,2014-05-28 08:34:28.000,3.3
1599,F,31,39,92,2014-05-28 10:26:30.000,22.3
1600,M,24,60,258,2014-05-29 20:52:29.000,6.3
1601,M,20,242,24,2014-05-29 09:54:22.000,22.0
1602,M,38,215,213,2014-05-29 12:55:29.000,6.0
1603,M,39,234,227,2014-05-30 23:23:06.000,171.9
1604,M,33,77,67,2014-05-30 06:36:54.000,32.4
1605,M,39,181,150,2014-05-31 18:31:50.000,6.8
1606,M,29,77,44,2014-06-01 21:33:08.000,6.3
1607,M,30,201,21,2014-06-02 17:56:12.000,11.6
1608,M,32,270,274,2014-06-02 11:23:37.000,5.2
1609,M,55,23,271,2014-06-02 21:06:26.000,13.6
1610,M,41,271,182,2014-06-03 07:38:58.000,23.9
1611,M,33,31,63,2014-06-03 20:01:59.000,33.7
1612,F,26,27,12,2014-06-04 21:25:11.000,4.1
1613,M,27,97,106,2014-06-04 07:26:03.000,2.5
1614,M,34,50,50,2014-06-04 15:25:12.000,3.3
1615,F,42,21,30,2014-06-05 17:26:24.000,9.7
1616,M,44,242,216,2014-06-05 08:53:29.000,7.1
1617,M,48,222,203,2014-06-05 09:50:53.000,5.0
1618,M,24,24,72,2014-06-06 14:11:01.000,22.2
1619,M,34,15,25,2014-06-06 22:16:48.490,21.0
1620,M,41,56,136,2014-06-07 23:05:24.000,1.9
1621,M,25,226,96,2014-06-08 14:29:44.797,30.6
1622,M,31,197,204,2014-06-09 18:59:18.843,12.4
1623,F,32,70,240,2014-06-09 12:51:32.000,48.9
1624,M,37,47,65,2014-06-10 17:19:30.000,27.4
1625,M,23,70,68,2014-06-10 18:38:19.000,3.4
1626,F,34,140,87,2014-06-10 13:53:31.000,16.1
1627,F,25,59,81,2014-06-11 13:42:51.000,4.4
1628,M,24,80,84,2014-06-11 07:25:53.000,1.7
1629,F,30,22,27,2014-06-11 19:10:30.000,7.6
1630,M,32,51,4,2014-06-12 20:23:44.000,7.5
1631,F,26,270,107,2014-06-12 08:02:53.000,10.2
1632,M,52,172,172,2014-06-13 17:33:26.000,17.0
1633,M,51,47,41,2014-06-13 19:29:40.000,27.7
1634,M,59,50,74,2014-06-13 13:11:26.000,4.6
1635,F,31,182,74,2014-06-14 22:39:28.000,6.0
1636,M,30,25,257,2014-06-15 15:23:28.997,5.2
1637,M,47,67,247,2014-06-16 07:55:37.000,16.2
1638,F,26,77,62,2014-06-16 19:12:48.670,4.7
1639,M,33,115,25,2014-06-16 13:05:14.000,6.8
1640,M,62,14,31,2014-06-17 18:53:10.000,13.0
1641,M,26,24,8,2014-06-17 14:24:38.000,8.2
1642,M,42,27,26,2014-06-18 16:54:02.817,10.6
1643,M,38,247,13,2014-06-18 09:51:45.000,7.3
1644,M,40,236,215,2014-06-19 14:06:38.513,4.6
1645,M,56,190,238,2014-06-19 09:11:13.000,11.6
1646,M,62,119,114,2014-06-20 14:58:29.000,2.1
1647,M,36,36,42,2014-06-20 08:46:01.000,6.3
1648,F,36,178,167,2014-06-20 10:38:18.000,2.4
1649,M,24,62,73,2014-06-21 12:40:03.000,2.3
1650,M,40,24,232,2014-06-22 12:10:40.000,9.7
1651,M,32,137,146,2014-06-23 19:15:49.000,7.8
1652,F,41,72,58,2014-06-23 09:41:22.000,7.2
1653,F,33,213,85,2014-06-24 19:32:46.000,28.6
1654,M,46,217,9,2014-06-24 12:11:23.000,9.4
1655,F,37,63,116,2014-06-25 17:21:15.000,15.0
1656,M,29,41,255,2014-06-25 12:30:40.000,8.0
1657,F,29,10,265,2014-06-26 19:46:10.000,8.1
1658,M,27,267,26,2014-06-26 08:14:09.000,5.2
1659,F,26,109,21,2014-06-27 14:37:36.000,28.2
1660,M,36,205,44,2014-06-27 07:43:32.000,18.7
1661,M,44,74,74,2014-06-27 19:55:10.000,11.8
1662,M,56,49,181,2014-06-28 07:46:06.000,14.4
